Page,Title,Price,Sold,Date
2,"TECNO SPARK Go 2024 64GB ROM+8GB RAM*(4GB+4GB Extended) 6.6""HD+Hole PTA APPROVED OFFICIAL BRAND WARRANT","Rs. 24,990",11 sold,2024-08-06 13:06:08.192073+00:00
2,"Samsung Galaxy A05 || 4GB Ram 64GB Rom || 6.7"" HD+ Display || Mediatek Helio G85 (12nm) || 5000 mAh- Fast charging 25W wired","Rs. 24,999",6 sold,2024-08-06 13:06:08.193071+00:00
2,"Calme 4G Spark 3.5"" Display 2GB Ram 16GB Rom 6000mAh Battery PTA Approved One Year Brand Warranty","Rs. 10,349",69 sold,2024-08-06 13:06:08.193071+00:00
2,"Sparx Note 20 8GB Ram 256GB Rom 6.67"" Display 50MP Rear Camera Media tek Helio G99 PTA Approved One Year Brand Warranty","Rs. 39,499",7 sold,2024-08-06 13:06:08.194071+00:00
2,Vivo Y18 RAM 4 GB ROM 128 GB Front Camera	8 MP Back Camera	50 MP + 0.08 MP Battery Type	Li-Ion 5000 mAh,"Rs. 37,980",13 sold,2024-08-06 13:06:08.194071+00:00
2,"Samsung A05s - 6GB/128GB - 6.7"" Display - Android 13 - 5000 mAh Battery","Rs. 44,999",265 sold,2024-08-06 13:06:08.194071+00:00
3,"Realme C51 - 6.74"" Inch Display - 3GB+4GB Extended RAM - 64GB ROM","Rs. 24,499",7 sold,2024-08-06 13:06:30.958293+00:00
3,"Vivo V30 5G - 6.78"" Inch Display - 12GB RAM - 256GB ROM","Rs. 129,999",11 sold,2024-08-06 13:06:30.958293+00:00
3,Samsung Galaxy A25 - 8GB 256GB - PTA Approved 1 Year Official Warranty,"Rs. 92,999",18 sold,2024-08-06 13:06:30.959807+00:00
3,Samsung Galaxy S24 Ultra 12GB RAM-512GB ROM 5000mAh PTA Approved Official Brand Warranty,"Rs. 469,999",,2024-08-06 13:06:30.959807+00:00
3,OnePlus 7 Pro Dual Sim 8GB Ram 256GB Rom,"Rs. 78,000",30 sold,2024-08-06 13:06:30.959807+00:00
3,Tecno Pova 5 Pro 5G || 8GB Ram 256GB Rom || 5000mAh Battery With 68W Charging,"Rs. 49,999",12 sold,2024-08-06 13:06:30.960818+00:00
3,realme C65 (Unbreakable Champion) 8GB RAM+ 256GB ROM 5000mAh Battery,"Rs. 49,999",,2024-08-06 13:06:30.960818+00:00
3,Sparx Neo 7 Plus - 4GB RAM 64GB ROM - 6.5 Inches Display - IPS LCD - Dual SIM - 5000mAh Battery,"Rs. 21,499",6 sold,2024-08-06 13:06:30.961818+00:00
3,"Samsung Galaxy A05 - 6.7"" Inch Display - 4GB RAM - 64GB ROM","Rs. 25,850",27 sold,2024-08-06 13:06:30.961818+00:00
3,Redmi Note 13 - 8GB RAM 128GB/256GB ROM - 6.67 Inches Display - AMOLED LCD - Dual SIM - 5000mAh Battery,"Rs. 52,499",9 sold,2024-08-06 13:06:30.962818+00:00
3,OPPO A78 - 8GB RAM 256GB ROM - 6.43 Inches Display -  AMOLED LCD - Dual SIM - 5000mAh Battery,"Rs. 62,999",11 sold,2024-08-06 13:06:30.962818+00:00
3,OnePlus 10 Pro Dual Sim Official PTA Approved (DUTY PAID) 12GB Ram 256/512 GB Rom,"Rs. 190,000",8 sold,2024-08-06 13:06:30.962818+00:00
3,"Oppo A58 - 6.72"" Inch Display - 8GB RAM - 128GB ROM","Rs. 46,999",5 sold,2024-08-06 13:06:30.963817+00:00
3,"Samsung A15 -13MP Front Camera - 50MP+5MP+2MP Triple Rear Camera - 6GB RAM 128GB ROM - 6.5 Inches  Super AMOLED Display - Dual SIM - USB Type-C - 5000 mAh, non-removable - 1 Year Warranty","Rs. 52,999",21 sold,2024-08-06 13:06:30.963817+00:00
